,kepid,koi_disposition
1057,4278221,CONFIRMED
1058,4281023,FALSE POSITIVE
1059,4281068,FALSE POSITIVE
1060,4281700,FALSE POSITIVE
1061,4281895,FALSE POSITIVE
1062,4282191,CONFIRMED
1064,4282872,CONFIRMED
1065,4284147,FALSE POSITIVE
1066,4284980,FALSE POSITIVE
1067,4285087,FALSE POSITIVE
1068,4285107,FALSE POSITIVE
1069,4346178,CONFIRMED
1071,4346875,FALSE POSITIVE
1073,4349452,CONFIRMED
1074,4349935,FALSE POSITIVE
1075,4352168,FALSE POSITIVE
1076,4355503,FALSE POSITIVE
1077,4356621,FALSE POSITIVE
1078,4356766,FALSE POSITIVE
1079,4357985,FALSE POSITIVE
1080,4365442,FALSE POSITIVE
1081,4365461,FALSE POSITIVE
1082,4365645,CONFIRMED
1084,4366923,FALSE POSITIVE
1085,4367528,FALSE POSITIVE
1086,4367544,FALSE POSITIVE
1088,4370527,CONFIRMED
1089,4371172,FALSE POSITIVE
1090,4372410,FALSE POSITIVE
1092,4372765,FALSE POSITIVE
1093,4372768,FALSE POSITIVE
1094,4372961,FALSE POSITIVE
1095,4373195,FALSE POSITIVE
1096,4374339,FALSE POSITIVE
1097,4374610,FALSE POSITIVE
1098,4375101,FALSE POSITIVE
1099,4376629,FALSE POSITIVE
1100,4376644,FALSE POSITIVE
1101,4380283,FALSE POSITIVE
1102,4380560,FALSE POSITIVE
1103,4381282,FALSE POSITIVE
1104,4381429,CONFIRMED
1105,4384652,FALSE POSITIVE
1106,4384675,FALSE POSITIVE
1107,4384793,FALSE POSITIVE
1110,4386047,FALSE POSITIVE
1111,4386059,FALSE POSITIVE
1112,4386607,FALSE POSITIVE
1113,4390912,FALSE POSITIVE
1114,4391348,FALSE POSITIVE
1115,4445630,FALSE POSITIVE
1116,4446411,FALSE POSITIVE
1118,4449034,FALSE POSITIVE
1119,4449752,FALSE POSITIVE
1121,4454219,FALSE POSITIVE
1122,4454752,CONFIRMED
1123,4454934,CONFIRMED
1124,4455231,CONFIRMED
1125,4455763,FALSE POSITIVE
1126,4456622,FALSE POSITIVE
1127,4458082,CONFIRMED
1128,4458109,FALSE POSITIVE
1129,4459068,FALSE POSITIVE
1130,4459503,FALSE POSITIVE
1131,4459924,FALSE POSITIVE
1133,4464689,FALSE POSITIVE
1134,4466356,FALSE POSITIVE
1135,4466677,CONFIRMED
1136,4469825,FALSE POSITIVE
1137,4470888,FALSE POSITIVE
1140,4472143,FALSE POSITIVE
1141,4472818,CONFIRMED
1142,4473226,CONFIRMED
1143,4473613,CONFIRMED
1145,4474637,FALSE POSITIVE
1146,4474645,FALSE POSITIVE
1147,4476123,CONFIRMED
1148,4476423,FALSE POSITIVE
1150,4478168,CONFIRMED
1151,4479633,FALSE POSITIVE
1152,4480676,FALSE POSITIVE
1153,4482738,FALSE POSITIVE
1154,4483138,CONFIRMED
1155,4483235,FALSE POSITIVE
1157,4484312,FALSE POSITIVE
1158,4484336,CONFIRMED
1159,4484356,FALSE POSITIVE
1160,4489844,FALSE POSITIVE
1161,4540508,FALSE POSITIVE
1162,4540632,FALSE POSITIVE
1163,4544571,FALSE POSITIVE
1164,4544572,FALSE POSITIVE
1165,4544620,FALSE POSITIVE
1166,4544623,FALSE POSITIVE
1167,4544628,FALSE POSITIVE
1169,4544684,FALSE POSITIVE
1170,4544907,CONFIRMED
1171,4545187,CONFIRMED
1172,4545570,CONFIRMED
1173,4545926,FALSE POSITIVE
1174,4547480,FALSE POSITIVE
1178,4548162,FALSE POSITIVE
1179,4551328,FALSE POSITIVE
1180,4551663,FALSE POSITIVE
1182,4556468,CONFIRMED
1183,4557341,FALSE POSITIVE
1184,4563268,CONFIRMED
1185,4565943,FALSE POSITIVE
1186,4565985,FALSE POSITIVE
1188,4566999,FALSE POSITIVE
1190,4568117,FALSE POSITIVE
1191,4568298,FALSE POSITIVE
1192,4569590,FALSE POSITIVE
1193,4569942,FALSE POSITIVE
1194,4570555,FALSE POSITIVE
1195,4570931,FALSE POSITIVE
1196,4570949,CONFIRMED
1197,4571004,FALSE POSITIVE
1198,4571536,FALSE POSITIVE
1201,4574310,FALSE POSITIVE
1202,4574319,FALSE POSITIVE
1203,4575824,FALSE POSITIVE
1204,4577484,FALSE POSITIVE
1205,4578594,FALSE POSITIVE
1206,4579313,FALSE POSITIVE
1207,4579321,FALSE POSITIVE
1208,4579598,FALSE POSITIVE
1209,4584865,FALSE POSITIVE
1210,4586482,FALSE POSITIVE
1212,4587448,FALSE POSITIVE
1213,4633434,FALSE POSITIVE
1214,4633570,CONFIRMED
1215,4634135,FALSE POSITIVE
1216,4636565,FALSE POSITIVE
1217,4636578,CONFIRMED
1219,4639868,FALSE POSITIVE
1220,4644604,CONFIRMED
1221,4644952,CONFIRMED
1222,4645174,CONFIRMED
1223,4645492,FALSE POSITIVE
1224,4645833,FALSE POSITIVE
1225,4647662,FALSE POSITIVE
1226,4647949,FALSE POSITIVE
1227,4649305,FALSE POSITIVE
1228,4649440,FALSE POSITIVE
1229,4650674,CONFIRMED
1230,4650733,CONFIRMED
1231,4651399,FALSE POSITIVE
1232,4656049,CONFIRMED
1233,4659255,FALSE POSITIVE
1234,4659405,FALSE POSITIVE
1235,4661634,FALSE POSITIVE
1236,4662363,FALSE POSITIVE
1237,4663185,FALSE POSITIVE
1238,4663658,FALSE POSITIVE
1239,4664046,FALSE POSITIVE
1240,4664743,FALSE POSITIVE
1241,4664847,CONFIRMED
1242,4665571,CONFIRMED
1243,4665989,FALSE POSITIVE
1244,4665991,FALSE POSITIVE
1245,4666008,FALSE POSITIVE
1246,4669402,FALSE POSITIVE
1248,4670267,FALSE POSITIVE
1250,4671584,FALSE POSITIVE
1251,4673628,CONFIRMED
1253,4677282,FALSE POSITIVE
1254,4678171,FALSE POSITIVE
1255,4678873,FALSE POSITIVE
1256,4678875,FALSE POSITIVE
1257,4678919,FALSE POSITIVE
1258,4679314,FALSE POSITIVE
1259,4679687,FALSE POSITIVE
1260,4680745,FALSE POSITIVE
1261,4680772,FALSE POSITIVE
1262,4681152,FALSE POSITIVE
1263,4725292,FALSE POSITIVE
1264,4725681,CONFIRMED
1265,4729553,FALSE POSITIVE
1266,4730442,FALSE POSITIVE
1267,4732015,FALSE POSITIVE
1268,4732137,FALSE POSITIVE
1269,4735826,CONFIRMED
1270,4736208,FALSE POSITIVE
1271,4736439,FALSE POSITIVE
1272,4736569,CONFIRMED
1273,4736644,CONFIRMED
1274,4737267,FALSE POSITIVE
1275,4737302,FALSE POSITIVE
1277,4738095,FALSE POSITIVE
1278,4739194,FALSE POSITIVE
1280,4739565,FALSE POSITIVE
1281,4740375,FALSE POSITIVE
1282,4740676,FALSE POSITIVE
1283,4740688,FALSE POSITIVE
1284,4741126,CONFIRMED
1285,4741777,FALSE POSITIVE
1287,4742414,CONFIRMED
1290,4743508,FALSE POSITIVE
1291,4743513,FALSE POSITIVE
1292,4750341,FALSE POSITIVE
1293,4750406,FALSE POSITIVE
1296,4751083,FALSE POSITIVE
1297,4752451,FALSE POSITIVE
1298,4753561,FALSE POSITIVE
1299,4753988,FALSE POSITIVE
1300,4754831,FALSE POSITIVE
1301,4757331,FALSE POSITIVE
1302,4757437,CONFIRMED
1303,4758350,FALSE POSITIVE
1304,4758368,FALSE POSITIVE
1305,4760478,CONFIRMED
1308,4761060,FALSE POSITIVE
1311,4763020,FALSE POSITIVE
1312,4764774,FALSE POSITIVE
1314,4768756,FALSE POSITIVE
1315,4768846,FALSE POSITIVE
1316,4769799,FALSE POSITIVE
1317,4769824,FALSE POSITIVE
1318,4769931,FALSE POSITIVE
1320,4770365,CONFIRMED
1321,4770617,CONFIRMED
1323,4772095,FALSE POSITIVE
1324,4773155,FALSE POSITIVE
1326,4774646,FALSE POSITIVE
1327,4813563,CONFIRMED
1330,4814168,FALSE POSITIVE
1331,4814502,CONFIRMED
1332,4815520,CONFIRMED
1333,4815612,FALSE POSITIVE
1334,4819158,FALSE POSITIVE
1336,4824268,FALSE POSITIVE
1337,4825872,FALSE POSITIVE
1338,4826110,FALSE POSITIVE
1339,4826439,FALSE POSITIVE
1340,4827723,CONFIRMED
1341,4828341,FALSE POSITIVE
1342,4829935,FALSE POSITIVE
1345,4831728,CONFIRMED
1346,4832175,FALSE POSITIVE
1347,4832197,FALSE POSITIVE
1348,4832225,FALSE POSITIVE
1349,4832273,FALSE POSITIVE
1350,4832837,CONFIRMED
1351,4833135,FALSE POSITIVE
1353,4833421,CONFIRMED
1354,4839180,FALSE POSITIVE
1355,4840156,FALSE POSITIVE
1356,4840263,FALSE POSITIVE
1357,4840327,FALSE POSITIVE
1358,4840513,FALSE POSITIVE
1360,4840818,FALSE POSITIVE
1361,4841374,CONFIRMED
1362,4843592,FALSE POSITIVE
1363,4843751,FALSE POSITIVE
1364,4844004,FALSE POSITIVE
1367,4845862,FALSE POSITIVE
1369,4847534,CONFIRMED
1370,4847782,FALSE POSITIVE
1371,4847801,FALSE POSITIVE
1372,4847832,FALSE POSITIVE
1373,4847843,FALSE POSITIVE
1374,4848115,FALSE POSITIVE
1375,4848321,FALSE POSITIVE
1376,4848423,FALSE POSITIVE
1377,4848424,FALSE POSITIVE
1378,4850961,CONFIRMED
1379,4851145,FALSE POSITIVE
1380,4851195,FALSE POSITIVE
1381,4851217,FALSE POSITIVE
1382,4851239,FALSE POSITIVE
1383,4851283,FALSE POSITIVE
1384,4851338,FALSE POSITIVE
1385,4851356,FALSE POSITIVE
1386,4851464,FALSE POSITIVE
1388,4852297,FALSE POSITIVE
1389,4852528,CONFIRMED
1390,4856592,FALSE POSITIVE
1392,4857213,CONFIRMED
1393,4858610,FALSE POSITIVE
1394,4860678,CONFIRMED
1395,4860932,FALSE POSITIVE
1396,4861527,FALSE POSITIVE
1397,4861736,FALSE POSITIVE
1398,4861784,FALSE POSITIVE
1399,4861791,FALSE POSITIVE
1400,4862332,FALSE POSITIVE
1401,4862625,FALSE POSITIVE
1403,4863260,FALSE POSITIVE
1404,4863369,FALSE POSITIVE
1405,4863753,FALSE POSITIVE
1406,4863956,FALSE POSITIVE
1407,4864734,FALSE POSITIVE
1408,4902030,FALSE POSITIVE
1410,4902673,FALSE POSITIVE
1411,4908495,FALSE POSITIVE
1412,4909707,FALSE POSITIVE
1413,4912589,FALSE POSITIVE
1415,4912991,FALSE POSITIVE
1416,4913000,FALSE POSITIVE
1417,4913852,CONFIRMED
1419,4914399,FALSE POSITIVE
1420,4914423,CONFIRMED
1421,4914566,CONFIRMED
1422,4914709,FALSE POSITIVE
1423,4914737,FALSE POSITIVE
1425,4915638,CONFIRMED
1426,4917014,FALSE POSITIVE
1427,4917357,FALSE POSITIVE
1428,4917596,CONFIRMED
1429,4917658,FALSE POSITIVE
1433,4927315,FALSE POSITIVE
1434,4927734,FALSE POSITIVE
1435,4927738,FALSE POSITIVE
1436,4928119,FALSE POSITIVE
1437,4929299,FALSE POSITIVE
1438,4931073,FALSE POSITIVE
1439,4932348,FALSE POSITIVE
1440,4932442,CONFIRMED
1441,4932689,FALSE POSITIVE
1442,4932691,FALSE POSITIVE
1443,4933476,FALSE POSITIVE
1445,4935914,FALSE POSITIVE
1447,4936990,FALSE POSITIVE
1448,4937140,FALSE POSITIVE
1449,4937143,FALSE POSITIVE
1451,4939346,CONFIRMED
1453,4940201,FALSE POSITIVE
1456,4940438,FALSE POSITIVE
1457,4945035,FALSE POSITIVE
1459,4945877,FALSE POSITIVE
1460,4946049,FALSE POSITIVE
1461,4946581,FALSE POSITIVE
1462,4946584,FALSE POSITIVE
1463,4946680,FALSE POSITIVE
1465,4947726,FALSE POSITIVE
1466,4948730,FALSE POSITIVE
1467,4948863,FALSE POSITIVE
1468,4949027,FALSE POSITIVE
1469,4949214,FALSE POSITIVE
1470,4949524,FALSE POSITIVE
1471,4949751,FALSE POSITIVE
1472,4950232,FALSE POSITIVE
1473,4950341,FALSE POSITIVE
1474,4950557,FALSE POSITIVE
1475,4951249,FALSE POSITIVE
1477,4952341,FALSE POSITIVE
1480,4989057,CONFIRMED
1481,4990977,FALSE POSITIVE
1482,4991208,CONFIRMED
1485,4996558,FALSE POSITIVE
1486,5000179,FALSE POSITIVE
1487,5003117,FALSE POSITIVE
1488,5003670,CONFIRMED
1490,5005121,CONFIRMED
1491,5005618,FALSE POSITIVE
1492,5006817,FALSE POSITIVE
1493,5007345,CONFIRMED
1496,5008775,FALSE POSITIVE
1497,5009189,FALSE POSITIVE
1498,5009688,FALSE POSITIVE
1499,5009743,CONFIRMED
1500,5014753,FALSE POSITIVE
1501,5014903,FALSE POSITIVE
1502,5015027,FALSE POSITIVE
1503,5015459,FALSE POSITIVE
1504,5015913,FALSE POSITIVE
1505,5016163,FALSE POSITIVE
1506,5017058,FALSE POSITIVE
1507,5018787,FALSE POSITIVE
1508,5019567,FALSE POSITIVE
1509,5020034,FALSE POSITIVE
1510,5020044,FALSE POSITIVE
1511,5020319,CONFIRMED
1512,5021174,FALSE POSITIVE
1513,5021176,FALSE POSITIVE
1515,5021732,FALSE POSITIVE
1516,5021737,FALSE POSITIVE
1517,5021899,CONFIRMED
1518,5022440,FALSE POSITIVE
1519,5022828,CONFIRMED
1520,5022900,FALSE POSITIVE
1521,5023948,FALSE POSITIVE
1522,5023956,FALSE POSITIVE
1523,5024126,FALSE POSITIVE
1524,5024138,FALSE POSITIVE
1525,5024177,FALSE POSITIVE
1526,5024252,FALSE POSITIVE
1527,5024268,FALSE POSITIVE
1528,5024292,FALSE POSITIVE
1529,5024372,FALSE POSITIVE
1530,5024414,FALSE POSITIVE
1531,5024429,FALSE POSITIVE
1532,5024450,FALSE POSITIVE
1533,5024476,FALSE POSITIVE
1534,5024482,FALSE POSITIVE
1535,5025217,FALSE POSITIVE
1536,5025234,FALSE POSITIVE
1537,5025294,FALSE POSITIVE
1538,5026023,FALSE POSITIVE
1539,5026187,FALSE POSITIVE
1540,5026326,FALSE POSITIVE
1542,5031804,FALSE POSITIVE
1543,5031857,CONFIRMED
1544,5031882,FALSE POSITIVE
1545,5032842,FALSE POSITIVE
1547,5034333,FALSE POSITIVE
1548,5035972,FALSE POSITIVE
1550,5036480,FALSE POSITIVE
1551,5036516,FALSE POSITIVE
1552,5036530,FALSE POSITIVE
1553,5036537,FALSE POSITIVE
1554,5036538,FALSE POSITIVE
1555,5036705,CONFIRMED
1556,5036966,FALSE POSITIVE
1557,5037742,FALSE POSITIVE
1558,5038469,FALSE POSITIVE
1559,5039053,FALSE POSITIVE
1560,5039129,FALSE POSITIVE
1562,5039441,FALSE POSITIVE
1563,5039687,FALSE POSITIVE
1565,5040223,FALSE POSITIVE
1566,5041569,FALSE POSITIVE
1567,5041847,FALSE POSITIVE
1568,5042210,CONFIRMED
1569,5042785,FALSE POSITIVE
1570,5077629,FALSE POSITIVE
1571,5078025,FALSE POSITIVE
1572,5078879,FALSE POSITIVE
1573,5078939,FALSE POSITIVE
1574,5080346,FALSE POSITIVE
1575,5080565,FALSE POSITIVE
1576,5080636,CONFIRMED
1577,5080652,FALSE POSITIVE
1579,5083252,FALSE POSITIVE
1580,5084171,CONFIRMED
1581,5084942,CONFIRMED
1583,5088400,CONFIRMED
1584,5088536,CONFIRMED
1585,5088591,CONFIRMED
1586,5090690,FALSE POSITIVE
1587,5090803,FALSE POSITIVE
1588,5090937,FALSE POSITIVE
1589,5091016,FALSE POSITIVE
1590,5091075,FALSE POSITIVE
1592,5091614,FALSE POSITIVE
1593,5091808,FALSE POSITIVE
1594,5092266,CONFIRMED
1595,5092655,FALSE POSITIVE
1597,5094301,FALSE POSITIVE
1599,5094751,CONFIRMED
1600,5095082,CONFIRMED
1601,5095269,FALSE POSITIVE
1604,5096590,CONFIRMED
1605,5097278,FALSE POSITIVE
1606,5097454,FALSE POSITIVE
1607,5097470,FALSE POSITIVE
1609,5097868,FALSE POSITIVE
1611,5098444,FALSE POSITIVE
1612,5098757,FALSE POSITIVE
1613,5103942,FALSE POSITIVE
1614,5103998,FALSE POSITIVE
1615,5105886,FALSE POSITIVE
1616,5106313,CONFIRMED
1617,5108214,FALSE POSITIVE
1618,5108946,FALSE POSITIVE
1619,5110423,FALSE POSITIVE
1621,5110683,FALSE POSITIVE
1622,5111801,FALSE POSITIVE
1623,5112198,FALSE POSITIVE
1624,5112567,FALSE POSITIVE
1625,5113053,FALSE POSITIVE
1626,5113146,FALSE POSITIVE
1627,5113809,FALSE POSITIVE
1628,5113822,CONFIRMED
1629,5114623,FALSE POSITIVE
1630,5115178,FALSE POSITIVE
1631,5115379,FALSE POSITIVE
1634,5119143,FALSE POSITIVE
1635,5119619,FALSE POSITIVE
1636,5120087,CONFIRMED
1637,5120225,FALSE POSITIVE
1638,5121173,FALSE POSITIVE
1639,5121511,CONFIRMED
1640,5122112,FALSE POSITIVE
1641,5124254,FALSE POSITIVE
1642,5124667,CONFIRMED
1643,5125048,FALSE POSITIVE
1644,5125196,FALSE POSITIVE
1645,5125347,CONFIRMED
1647,5126627,FALSE POSITIVE
1648,5126932,FALSE POSITIVE
1649,5128673,CONFIRMED
1650,5128966,FALSE POSITIVE
1652,5130369,FALSE POSITIVE
1653,5130380,FALSE POSITIVE
1654,5130563,FALSE POSITIVE
1655,5130740,FALSE POSITIVE
1656,5130890,FALSE POSITIVE
1657,5130983,FALSE POSITIVE
1659,5131276,FALSE POSITIVE
1660,5164255,CONFIRMED
1661,5164794,FALSE POSITIVE
1663,5168498,FALSE POSITIVE
1665,5172274,FALSE POSITIVE
1666,5174492,FALSE POSITIVE
1667,5174677,FALSE POSITIVE
1668,5174858,CONFIRMED
1669,5174920,FALSE POSITIVE
1670,5175024,CONFIRMED
1671,5175986,CONFIRMED
1672,5177065,FALSE POSITIVE
1673,5177104,CONFIRMED
1674,5177859,CONFIRMED
1675,5179609,FALSE POSITIVE
1676,5181086,FALSE POSITIVE
1678,5181455,FALSE POSITIVE
1679,5181804,FALSE POSITIVE
1680,5181817,FALSE POSITIVE
1681,5183357,CONFIRMED
1683,5184584,CONFIRMED
1685,5184911,CONFIRMED
1686,5185765,FALSE POSITIVE
1687,5185897,CONFIRMED
1688,5192660,FALSE POSITIVE
1689,5193077,FALSE POSITIVE
1690,5193384,FALSE POSITIVE
1691,5193386,FALSE POSITIVE
1692,5193400,FALSE POSITIVE
1695,5193813,FALSE POSITIVE
1696,5195172,CONFIRMED
1697,5195945,FALSE POSITIVE
1698,5196851,FALSE POSITIVE
1701,5199426,FALSE POSITIVE
1702,5199978,FALSE POSITIVE
1703,5200084,FALSE POSITIVE
1704,5201115,FALSE POSITIVE
1705,5201593,FALSE POSITIVE
1706,5202905,CONFIRMED
1707,5206233,FALSE POSITIVE
1709,5209845,CONFIRMED
1710,5210475,FALSE POSITIVE
1711,5211199,CONFIRMED
1712,5211470,FALSE POSITIVE
1713,5211631,FALSE POSITIVE
1714,5211922,FALSE POSITIVE
1715,5212220,FALSE POSITIVE
1716,5213005,FALSE POSITIVE
1717,5213230,CONFIRMED
1718,5213404,CONFIRMED
1719,5213811,FALSE POSITIVE
1720,5213902,FALSE POSITIVE
1721,5215251,FALSE POSITIVE
1723,5215700,FALSE POSITIVE
1724,5215980,FALSE POSITIVE
1725,5216727,FALSE POSITIVE
1726,5217574,FALSE POSITIVE
1727,5217586,FALSE POSITIVE
1728,5217733,FALSE POSITIVE
1729,5217891,FALSE POSITIVE
1730,5218014,FALSE POSITIVE
1731,5218441,FALSE POSITIVE
1732,5219234,CONFIRMED
1733,5252423,CONFIRMED
1735,5254230,FALSE POSITIVE
1737,5255552,FALSE POSITIVE
1739,5260419,FALSE POSITIVE
1740,5262539,FALSE POSITIVE
1742,5263802,FALSE POSITIVE
1743,5264304,FALSE POSITIVE
1744,5265982,FALSE POSITIVE
1745,5266937,FALSE POSITIVE
1746,5268955,FALSE POSITIVE
1747,5269407,FALSE POSITIVE
1748,5269467,CONFIRMED
1749,5270698,FALSE POSITIVE
1751,5271608,FALSE POSITIVE
1752,5271637,FALSE POSITIVE
1753,5271803,FALSE POSITIVE
1754,5272233,CONFIRMED
1755,5272571,FALSE POSITIVE
1756,5272878,CONFIRMED
1757,5273713,FALSE POSITIVE
1758,5276332,FALSE POSITIVE
1759,5280587,CONFIRMED
1760,5281113,CONFIRMED
1761,5281714,FALSE POSITIVE
1762,5282049,FALSE POSITIVE
1763,5282051,FALSE POSITIVE
1764,5282437,FALSE POSITIVE
1765,5282477,FALSE POSITIVE
1766,5282656,FALSE POSITIVE
1768,5283542,FALSE POSITIVE
1770,5284133,FALSE POSITIVE
1771,5285607,FALSE POSITIVE
1772,5286786,FALSE POSITIVE
1773,5287983,FALSE POSITIVE
1774,5288543,FALSE POSITIVE
1775,5288570,FALSE POSITIVE
1776,5288577,FALSE POSITIVE
1777,5288744,FALSE POSITIVE
1778,5289854,CONFIRMED
1779,5289857,FALSE POSITIVE
1780,5294739,FALSE POSITIVE
1783,5297298,FALSE POSITIVE
1784,5298620,FALSE POSITIVE
1785,5299459,CONFIRMED
1786,5300878,FALSE POSITIVE
1787,5301093,FALSE POSITIVE
1788,5301750,CONFIRMED
1789,5301955,FALSE POSITIVE
1790,5302006,FALSE POSITIVE
1791,5302643,FALSE POSITIVE
1792,5303185,FALSE POSITIVE
1793,5303346,FALSE POSITIVE
1794,5303551,FALSE POSITIVE
1795,5303557,FALSE POSITIVE
1796,5305225,FALSE POSITIVE
1797,5305240,FALSE POSITIVE
1798,5305399,FALSE POSITIVE
1799,5305404,FALSE POSITIVE
1800,5305451,FALSE POSITIVE
1801,5305471,FALSE POSITIVE
1802,5306383,FALSE POSITIVE
1803,5306720,FALSE POSITIVE
1804,5306862,FALSE POSITIVE
1806,5307568,FALSE POSITIVE
1807,5307574,FALSE POSITIVE
1808,5307858,FALSE POSITIVE
1809,5307990,FALSE POSITIVE
1811,5308387,FALSE POSITIVE
1812,5308419,FALSE POSITIVE
1813,5308537,CONFIRMED
1814,5308663,FALSE POSITIVE
1815,5308666,FALSE POSITIVE
1816,5308777,FALSE POSITIVE
1817,5308778,FALSE POSITIVE
1818,5309353,FALSE POSITIVE
1819,5310435,FALSE POSITIVE
1820,5339567,CONFIRMED
1821,5340644,CONFIRMED
1822,5340878,CONFIRMED
1824,5342473,CONFIRMED
1825,5343976,FALSE POSITIVE
1826,5347537,FALSE POSITIVE
1827,5347784,FALSE POSITIVE
1828,5350244,CONFIRMED
1829,5350447,FALSE POSITIVE
1830,5351250,CONFIRMED
1832,5353137,FALSE POSITIVE
1834,5356593,FALSE POSITIVE
1835,5357470,FALSE POSITIVE
1836,5357545,CONFIRMED
1837,5357901,CONFIRMED
1838,5358241,CONFIRMED
1839,5358624,CONFIRMED
1840,5359678,FALSE POSITIVE
1841,5360082,FALSE POSITIVE
1843,5360974,FALSE POSITIVE
1844,5364071,CONFIRMED
1845,5364090,FALSE POSITIVE
1846,5369827,CONFIRMED
1847,5370302,FALSE POSITIVE
1848,5370944,FALSE POSITIVE
1849,5371776,CONFIRMED
1850,5371777,CONFIRMED
1851,5372966,FALSE POSITIVE
1852,5374403,CONFIRMED
1854,5374854,CONFIRMED
1855,5375194,CONFIRMED
1856,5376067,FALSE POSITIVE
1857,5376836,FALSE POSITIVE
1859,5383248,CONFIRMED
1860,5384079,CONFIRMED
1862,5384802,FALSE POSITIVE
1863,5385139,FALSE POSITIVE
1864,5385150,FALSE POSITIVE
1865,5385269,FALSE POSITIVE
1868,5385439,FALSE POSITIVE
1869,5385469,FALSE POSITIVE
1870,5385471,FALSE POSITIVE
1871,5385491,FALSE POSITIVE
1872,5385509,FALSE POSITIVE
1873,5385548,FALSE POSITIVE
1874,5385566,FALSE POSITIVE
1875,5385575,FALSE POSITIVE
1876,5385647,FALSE POSITIVE
1877,5385667,FALSE POSITIVE
1878,5385697,FALSE POSITIVE
1879,5385773,FALSE POSITIVE
1880,5385778,FALSE POSITIVE
1881,5386163,FALSE POSITIVE
1882,5386264,FALSE POSITIVE
1883,5386904,FALSE POSITIVE
1884,5387843,FALSE POSITIVE
1885,5388229,FALSE POSITIVE
1886,5389184,FALSE POSITIVE
1887,5389540,FALSE POSITIVE
1888,5389632,FALSE POSITIVE
1891,5391407,FALSE POSITIVE
1892,5391911,FALSE POSITIVE
1893,5392702,FALSE POSITIVE
1894,5392871,FALSE POSITIVE
1895,5392897,FALSE POSITIVE
1896,5393558,FALSE POSITIVE
1898,5396122,FALSE POSITIVE
1899,5397106,FALSE POSITIVE
1900,5397166,FALSE POSITIVE
1901,5397905,FALSE POSITIVE
1902,5398002,FALSE POSITIVE
1904,5425908,FALSE POSITIVE
1906,5428471,FALSE POSITIVE
1908,5428668,FALSE POSITIVE
1910,5435816,FALSE POSITIVE
1911,5436013,CONFIRMED
1913,5436338,CONFIRMED
1914,5436415,FALSE POSITIVE
1916,5436502,CONFIRMED
1917,5437348,FALSE POSITIVE
1919,5437945,CONFIRMED
1920,5438099,CONFIRMED
1921,5438757,CONFIRMED
1923,5440317,CONFIRMED
1924,5440435,FALSE POSITIVE
1925,5440472,FALSE POSITIVE
1926,5440651,FALSE POSITIVE
1929,5443604,FALSE POSITIVE
1930,5443775,FALSE POSITIVE
1933,5444334,FALSE POSITIVE
1934,5444384,FALSE POSITIVE
1935,5444392,FALSE POSITIVE
1936,5444491,FALSE POSITIVE
1937,5444548,CONFIRMED
1938,5444549,FALSE POSITIVE
1939,5445681,CONFIRMED
1940,5446285,CONFIRMED
1941,5446961,FALSE POSITIVE
1942,5449777,FALSE POSITIVE
1943,5450814,FALSE POSITIVE
1944,5450893,CONFIRMED
1945,5456023,FALSE POSITIVE
1946,5456319,FALSE POSITIVE
1947,5456651,CONFIRMED
1951,5460835,FALSE POSITIVE
1952,5461440,CONFIRMED
1953,5462901,FALSE POSITIVE
1955,5467102,FALSE POSITIVE
1956,5467113,FALSE POSITIVE
1957,5467124,FALSE POSITIVE
1958,5467126,FALSE POSITIVE
1959,5468555,FALSE POSITIVE
1960,5470739,CONFIRMED
1961,5470851,FALSE POSITIVE
1962,5470960,FALSE POSITIVE
1963,5471010,FALSE POSITIVE
1964,5471059,FALSE POSITIVE
1965,5471068,FALSE POSITIVE
1966,5471108,FALSE POSITIVE
1967,5471141,FALSE POSITIVE
1968,5471158,FALSE POSITIVE
1969,5471192,FALSE POSITIVE
1970,5471202,FALSE POSITIVE
1971,5471217,FALSE POSITIVE
1972,5471271,FALSE POSITIVE
1973,5471289,FALSE POSITIVE
1974,5471328,FALSE POSITIVE
1975,5471415,FALSE POSITIVE
1976,5471480,FALSE POSITIVE
1977,5471489,FALSE POSITIVE
1978,5471496,FALSE POSITIVE
1979,5471566,FALSE POSITIVE
1980,5471574,FALSE POSITIVE
1981,5471606,FALSE POSITIVE
1982,5471617,FALSE POSITIVE
1983,5471675,FALSE POSITIVE
1984,5471688,FALSE POSITIVE
1985,5471690,FALSE POSITIVE
1986,5471769,FALSE POSITIVE
1987,5471770,FALSE POSITIVE
1988,5471792,FALSE POSITIVE
1989,5473535,FALSE POSITIVE
1990,5473556,FALSE POSITIVE
1991,5474613,CONFIRMED
1992,5474733,FALSE POSITIVE
1995,5475494,FALSE POSITIVE
1996,5475641,FALSE POSITIVE
1997,5475712,FALSE POSITIVE
1998,5475735,FALSE POSITIVE
1999,5475736,FALSE POSITIVE
2000,5476671,FALSE POSITIVE
2001,5477805,FALSE POSITIVE
2002,5478055,FALSE POSITIVE
2003,5478083,FALSE POSITIVE
2004,5479717,FALSE POSITIVE
2005,5479802,FALSE POSITIVE
2006,5479973,FALSE POSITIVE
2007,5480640,CONFIRMED
2008,5480736,FALSE POSITIVE
2009,5480884,FALSE POSITIVE
2010,5481148,FALSE POSITIVE
2011,5481416,FALSE POSITIVE
2012,5481426,FALSE POSITIVE
2013,5482603,FALSE POSITIVE
